statefp,macro_period,topic,prob
05,1,25,0.38842283505946396
05,1,26,0.41284433025866746
05,1,27,0.014285714365541935
05,1,28,0.6120195456056131
05,1,29,0.4453949606977403
05,1,30,0.4413140758073756
05,1,31,0.4952556023906384
05,1,32,0.014285714365541935
05,1,33,0.48346258379105067
05,1,34,0.479562515206635
06,-1,0,0.528862480866343
06,-1,1,0.512237484539858
06,-1,2,0.5072167257623901
06,-1,3,0.5660623810461722
06,-1,4,0.5191043237371168
06,-1,5,0.5206954931689933
06,-1,6,0.48985934439903206
06,-1,7,0.605073935403377
06,-1,8,0.5648293214676984
06,-1,9,0.4188204831574757
06,-1,10,0.37417911089701544
06,-1,11,0.49204827186459543
06,-1,12,0.5670473338772272
06,-1,13,0.49749708300264706
06,-1,14,0.5192815499583144
06,-1,15,0.4479007459223898
06,-1,16,0.5521832548344183
06,-1,17,0.5145405345127004
06,-1,18,0.7051026190551188
06,-1,19,0.517659137480877
06,-1,20,0.5433406406706989
06,-1,21,0.46665856159297325
06,-1,22,0.4667474821417571
06,-1,23,0.5354114205516277
06,-1,24,0.5781688608502924
06,-1,25,0.48909566921109565
06,-1,26,0.5615741197946235
06,-1,27,0.4568272576171287
06,-1,28,0.4885427238111867
06,-1,29,0.5048673704719032
06,-1,30,0.37704365460495937
06,-1,31,0.4767218417796035
06,-1,32,0.4284463302853207
06,-1,33,0.4125246671028435
06,-1,34,0.4167679187217358
06,0,0,0.5471942821991803
06,0,1,0.5573005426167087
06,0,2,0.5281900779623145
06,0,3,0.595748916357983
06,0,4,0.5498549265059822
06,0,5,0.6197997530883489
06,0,6,0.5521509144624142
06,0,7,0.5971005385834999
06,0,8,0.6010545268190612
06,0,9,0.571013506749654
06,0,10,0.5084449685284798
06,0,11,0.5138199007791926
06,0,12,0.5353239725631328
06,0,13,0.5688459787862217
06,0,14,0.5158014991600066
06,0,15,0.5338382433145875
06,0,16,0.5405354577442631
06,0,17,0.5136432620780071
06,0,18,0.6291459349525373
06,0,19,0.5914559659155968
06,0,20,0.5588456870027585
06,0,21,0.6520700870941465
06,0,22,0.5981906119228244
06,0,23,0.5539962453007394
06,0,24,0.5998108051314112
06,0,25,0.5301934781287905
06,0,26,0.5814397567826861
06,0,27,0.49750942246367535
06,0,28,0.5056128712826434
06,0,29,0.5432543565155189
06,0,30,0.43810351410538223
06,0,31,0.5269149809108419
06,0,32,0.5621065359420913
06,0,33,0.5458107343276775
06,0,34,0.5248250394598931
06,1,0,0.5281692385975805
06,1,1,0.5197862042731675
06,1,2,0.5225924594349168
