abbrv,statefp,cluster,macro_period,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NV,32,4,-1.0,0.11392710680613051,0.08438884785774892,0.094098804259181,0.13622689830245555,0.10245385908195968,0.0821149310964593,0.07776979488433212,0.12980760365396304,0.0859195359479158,0.09329262134684457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV,32,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12311790641948128,0.11351231956806758,0.07913792033873424,0.07935720614184602,0.12482523386119682,0.08417004003726924,0.13295275540863105,0.08065799958023422,0.09312896216768392,0.08913965877981038
NH,33,6,-1.0,0.10162824414880633,0.12083387630373503,0.0837031884976061,0.09605056581713786,0.11865059341988073,0.08209697379363882,0.09656704761153828,0.07986492204348004,0.11300868037428739,0.1075959111938863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,33,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11841400115487263,0.13958966785790644,0.07126847240693965,0.07604036650522367,0.10607510405794815,0.07418499716961953,0.10118542868325389,0.0921798441497805,0.1101917966658029,0.11087032360190183
NJ,34,6,-1.0,0.10476736991891736,0.10290782807610536,0.08690857162777531,0.07574674160533437,0.12691781921596512,0.10429392869917578,0.07634863304072305,0.0931953244952387,0.10485445143645139,0.12405933506826036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ,34,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11906103070671206,0.11093794225187051,0.07373218585670982,0.08392596289527982,0.1196556959847516,0.08405173414090866,0.1397110813755716,0.08569009811522342,0.09523388720260147,0.08800038332793084
NM,35,3,-1.0,0.08276480112262831,0.11563087990317418,0.0963564907219641,0.14684791202485867,0.0881608005004878,0.12596134741657547,0.05821437487492756,0.10457698284287234,0.06916758465599648,0.11231883142941765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,35,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1021791818371162,0.13066070676764702,0.08976065255218811,0.07411965039075445,0.11066727904882388,0.08805141696412509,0.11845930577733181,0.08438268486508525,0.10942924529941324,0.09228987911305916
NY,36,4,-1.0,0.10899634985699358,0.08777686795631975,0.10000201831643286,0.11218422523612898,0.10567394938529415,0.08607497294407955,0.08310967766363644,0.12658756373786464,0.08797497162149248,0.1016194063357973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,36,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11899050945844888,0.11877386373677952,0.07728872775581434,0.082549009816662,0.11825964226604961,0.08081362595557227,0.12945649315045138,0.08449805133115428,0.09658307186501089,0.092787006556922
