topic,token,count,rank
32,restaurant,5396,10
32,think,1780,15
32,trump,2750,2
33,america,1091,18
33,ban,4753,3
33,country,3169,8
33,court,3435,13
33,illegal,1025,12
33,immigrant,910,9
33,immigration,15295,0
33,islam,7339,1
33,legal,1536,11
33,like,1153,16
33,muslim,2100,5
33,new,1342,15
33,news,2830,10
33,order,3635,7
33,people,7990,4
33,president,761,17
33,refugeee,2304,6
33,religion,773,14
33,think,1474,19
33,trump,7260,2
34,american,1870,10
34,attacks,2382,15
34,ban,15893,3
34,banned,1618,18
34,countries,2037,9
34,country,845,13
34,day,1169,16
34,donald,2383,8
34,immigrant,2366,7
34,immigration,13712,2
34,leaders,3640,14
34,muslim,21089,0
34,new,939,17
34,news,2053,12
34,obama,1223,11
34,order,3213,4
34,refugeee,3010,6
34,state,6267,5
34,trump,19276,1
34,world,1202,19
